Tiempo	ya	va	ve	ye
4.319999999999952	451.7542400000015	-32.33599999999954	-32.33599999999989	451.54256
4.329999999999952	451.4303900000015	-32.433999999999536	-32.43399999999989	451.21822
4.339999999999952	451.10556000000156	-32.531999999999535	-32.53199999999989	450.8929
4.349999999999952	450.77975000000157	-32.62999999999953	-32.62999999999989	450.5666
4.3599999999999515	450.45296000000155	-32.727999999999525	-32.72799999999989	450.23932
4.369999999999951	450.12519000000157	-32.825999999999524	-32.82599999999989	449.91106
4.379999999999951	449.7964400000016	-32.92399999999952	-32.923999999999886	449.58182
4.389999999999951	449.4667100000016	-33.02199999999952	-33.021999999999885	449.2516
4.399999999999951	449.1360000000016	-33.11999999999952	-33.119999999999884	448.9204
4.40999999999995	448.80431000000164	-33.21799999999952	-33.21799999999988	448.58822
4.41999999999995	448.4716400000017	-33.31599999999951	-33.31599999999988	448.25505999999996
4.42999999999995	448.13799000000165	-33.41399999999951	-33.41399999999988	447.92091999999997
4.43999999999995	447.80336000000165	-33.51199999999951	-33.51199999999988	447.58579999999995
4.4499999999999496	447.4677500000017	-33.60999999999951	-33.60999999999988	447.24969999999996
4.459999999999949	447.1311600000017	-33.70799999999951	-33.70799999999988	446.91261999999995
4.469999999999949	446.7935900000017	-33.80599999999951	-33.80599999999988	446.57455999999996
4.479999999999949	446.45504000000176	-33.9039999999995	-33.903999999999876	446.23551999999995
4.489999999999949	446.11551000000173	-34.0019999999995	-34.001999999999875	445.89549999999997
4.4999999999999485	445.77500000000174	-34.0999999999995	-34.09999999999987	445.55449999999996
4.509999999999948	445.4335100000018	-34.197999999999496	-34.19799999999987	445.21252
4.519999999999948	445.0910400000018	-34.295999999999495	-34.29599999999987	444.86956
4.529999999999948	444.74759000000176	-34.393999999999494	-34.39399999999987	444.52562
4.539999999999948	444.4031600000018	-34.49199999999949	-34.49199999999987	444.1807
4.549999999999947	444.0577500000018	-34.589999999999485	-34.58999999999987	443.83480000000003
4.559999999999947	443.71136000000183	-34.687999999999484	-34.68799999999987	443.48792000000003
4.569999999999947	443.3639900000018	-34.78599999999948	-34.785999999999866	443.14006
4.579999999999947	443.01564000000184	-34.88399999999948	-34.883999999999865	442.79122
4.589999999999947	442.6663100000019	-34.98199999999948	-34.981999999999864	442.4414
4.599999999999946	442.31600000000185	-35.07999999999948	-35.07999999999986	442.0906
4.609999999999946	441.9647100000019	-35.17799999999948	-35.17799999999986	441.73882
4.619999999999946	441.6124400000019	-35.27599999999947	-35.27599999999986	441.38606
4.629999999999946	441.2591900000019	-35.37399999999947	-35.37399999999986	441.03231999999997
4.6399999999999455	440.9049600000019	-35.47199999999947	-35.47199999999986	440.6776
4.649999999999945	440.54975000000195	-35.56999999999947	-35.56999999999986	440.32189999999997
4.659999999999945	440.193560000002	-35.667999999999466	-35.66799999999986	439.96522
4.669999999999945	439.836390000002	-35.765999999999465	-35.765999999999856	439.60756
4.679999999999945	439.47824000000196	-35.863999999999464	-35.863999999999855	439.24892
4.689999999999944	439.11911000000197	-35.961999999999456	-35.961999999999854	438.8893
4.699999999999944	438.759000000002	-36.059999999999455	-36.05999999999985	438.5287
4.709999999999944	438.397910000002	-36.157999999999454	-36.15799999999985	438.16712
4.719999999999944	438.03584000000205	-36.25599999999945	-36.25599999999985	437.80456000000004
4.729999999999944	437.67279000000207	-36.35399999999945	-36.35399999999985	437.44102000000004
4.739999999999943	437.30876000000205	-36.45199999999945	-36.45199999999985	437.07650000000007
4.749999999999943	436.94375000000207	-36.54999999999944	-36.54999999999985	436.71100000000007
4.759999999999943	436.57776000000206	-36.64799999999944	-36.64799999999985	436.34452000000005
4.769999999999943	436.2107900000021	-36.74599999999944	-36.745999999999846	435.97706000000005
4.7799999999999425	435.8428400000021	-36.84399999999944	-36.843999999999845	435.60862000000003
